Sector2,Ano2,MesDesc2,textbox_MatrixRow_EnergiaConsumida2,Textbox11,
Comércio e Serviços,2018,Junho,22 251 966,62 359 743,
Comércio e Serviços,2018,Julho,23 056 329,62 922 511,
Comércio e Serviços,2018,Agosto,26 041 845,68 267 126,
Comércio e Serviços,2018,Setembro,24 688 459,66 252 442,
Comércio e Serviços,2018,Outubro,23 689 667,65 343 262,
Comércio e Serviços,2018,Novembro,21 305 697,62 090 272,
Comércio e Serviços,2018,Dezembro,20 357 367,59 704 301,
Comércio e Serviços,2019,Janeiro,20 538 889,62 986 372,
Comércio e Serviços,2019,Fevereiro,18 533 359,57 916 952,
Comércio e Serviços,2019,Março,19 623 113,59 965 924,
Comércio e Serviços,2019,Abril,19 257 154,57 997 435,
Comércio e Serviços,2019,Maio,21 668 582,63 683 092,
Comércio e Serviços,2019,Junho,21 112 530,58 817 085,
Comércio e Serviços,2019,Julho,23 570 043,63 436 050,
Comércio e Serviços,2019,Agosto,25 564 903,67 053 576,
Comércio e Serviços,2019,Setembro,23 944 763,64 583 071,
Comércio e Serviços,2019,Outubro,23 846 696,65 857 111,
Comércio e Serviços,2019,Novembro,21 535 979,62 522 084,
Comércio e Serviços,2019,Dezembro,20 294 571,58 558 551,
Comércio e Serviços,2020,Janeiro,21 111 352,64 863 063,
Comércio e Serviços,2020,Fevereiro,18 903 429,58 599 782,
Comércio e Serviços,2020,Março,18 568 872,59 012 076,
Comércio e Serviços,2020,Abril,16 680 555,56 228 180,
Comércio e Serviços,2020,Maio,15 982 518,54 893 665,
Comércio e Serviços,2020,Junho,15 780 470,54 907 212,
Comércio e Serviços,2020,Julho,19 225 471,60 636 649,
Comércio e Serviços,2020,Agosto,21 624 309,63 636 879,
Comércio e Serviços,2020,Setembro,21 317 882,62 719 025,
Comércio e Serviços,2020,Outubro,21 479 693,63 545 146,
Comércio e Serviços,2020,Novembro,18 972 117,59 070 853,
Comércio e Serviços,2020,Dezembro,19 457 512,61 298 623,
Comércio e Serviços,2021,Janeiro,18 152 365,59 170 216,
Comércio e Serviços,2021,Fevereiro,17 253 745,60 702 105,
Comércio e Serviços,2021,Março,16 281 798,59 289 288,
Comércio e Serviços,2021,Abril,20 761 151,65 800 669,
Comércio e Serviços,2021,Maio,19 224 677,60 367 200,
Comércio e Serviços,2021,Junho,20 763 542,62 355 343,
Comércio e Serviços,2021,Julho,22 943 409,63 954 339,
Comércio e Serviços,2021,Agosto,24 998 602,67 931 496,
Comércio e Serviços,2021,Setembro,24 679 455,67 372 094,
Comércio e Serviços,2021,Outubro,23 943 882,67 412 720,
Comércio e Serviços,2021,Novembro,21 725 737,62 903 160,
Comércio e Serviços,2021,Dezembro,21 622 919,64 180 407,
Comércio e Serviços,2022,Janeiro,20 151 569,62 371 967,
Comércio e Serviços,2022,Fevereiro,18 939 163,59 725 103,
Comércio e Serviços,2022,Março,20 666 771,64 329 620,
Cons. Próprio (Industrial),1987,Janeiro,-,0,
Cons. Próprio (Industrial),1987,Fevereiro,-,0,
Cons. Próprio (Industrial),1987,Março,-,0,
Cons. Próprio (Industrial),1987,Abril,-,0,
Cons. Próprio (Industrial),1987,Maio,-,0,
Cons. Próprio (Industrial),1987,Junho,-,0,
Cons. Próprio (Industrial),1987,Julho,-,0,
Cons. Próprio (Industrial),1987,Agosto,-,0,
Cons. Próprio (Industrial),1987,Setembro,-,0,
Cons. Próprio (Industrial),1987,Outubro,-,0,
Cons. Próprio (Industrial),1987,Novembro,-,0,
Cons. Próprio (Industrial),1987,Dezembro,-,0,
Cons. Próprio (Industrial),1988,Janeiro,-,0,
Cons. Próprio (Industrial),1988,Fevereiro,-,0,
Cons. Próprio (Industrial),1988,Março,-,0,
Cons. Próprio (Industrial),1988,Abril,-,0,
Cons. Próprio (Industrial),1988,Maio,-,0,
Cons. Próprio (Industrial),1988,Junho,-,0,
Cons. Próprio (Industrial),1988,Julho,-,0,
Cons. Próprio (Industrial),1988,Agosto,-,0,
Cons. Próprio (Industrial),1988,Setembro,-,0,
Cons. Próprio (Industrial),1988,Outubro,-,0,
Cons. Próprio (Industrial),1988,Novembro,-,0,
Cons. Próprio (Industrial),1988,Dezembro,-,0,
Cons. Próprio (Industrial),1989,Janeiro,-,0,
Cons. Próprio (Industrial),1989,Fevereiro,-,0,
Cons. Próprio (Industrial),1989,Março,-,0,
Cons. Próprio (Industrial),1989,Abril,-,0,
Cons. Próprio (Industrial),1989,Maio,-,0,
Cons. Próprio (Industrial),1989,Junho,-,0,
