Origem,Ano,MesDesc,textbox_MatrixRow_EnergiaProduzida,Textbox32,
Biogás,2017,Março,26,65 392 940,
Biogás,2017,Abril, 24 525,62 436 948,
Biogás,2017,Maio, 45 784,65 503 987,
Biogás,2017,Junho, 54 282,64 840 761,
Biogás,2017,Julho, 45 897,71 294 531,
Biogás,2017,Agosto, 48 960,73 960 621,
Biogás,2017,Setembro, 45 296,71 002 260,
Biogás,2017,Outubro, 28 431,69 640 494,
Biogás,2017,Novembro,228,65 358 655,
Biogás,2017,Dezembro, 21 482,67 054 154,
Biogás,2018,Janeiro, 42 144,67 450 315,
Biogás,2018,Fevereiro, 33 454,59 836 372,
Biogás,2018,Março, 50 001,66 760 785,
Biogás,2018,Abril, 55 656,62 177 285,
Biogás,2018,Maio, 57 417,65 716 600,
Biogás,2018,Junho, 58 662,68 826 387,
Biogás,2018,Julho, 30 754,71 946 247,
Biogás,2018,Agosto, 22 644,75 538 084,
Biogás,2018,Setembro, 33 988,72 314 112,
Biogás,2018,Outubro, 30 857,69 081 678,
Biogás,2018,Novembro, 27 264,65 391 395,
Biogás,2018,Dezembro, 36 393,68 864 698,
Biogás,2019,Janeiro, 46 330,68 579 825,
Biogás,2019,Fevereiro, 43 430,62 050 781,
Biogás,2019,Março, 52 687,65 801 602,
Biogás,2019,Abril, 51 075,63 695 055,
Biogás,2019,Maio, 21 194,66 792 092,
Biogás,2019,Junho,39,65 149 246,
Biogás,2019,Julho,105,72 849 430,
Biogás,2019,Agosto, 50 141,74 431 994,
Biogás,2019,Setembro, 46 483,69 858 719,
Biogás,2019,Outubro, 60 006,69 859 171,
Biogás,2019,Novembro, 60 169,65 329 128,
Biogás,2019,Dezembro, 58 001,68 539 593,
Biogás,2020,Janeiro, 58 709,69 155 320,
Biogás,2020,Fevereiro, 53 811,63 284 886,
Biogás,2020,Março, 72 086,64 459 133,
Biogás,2020,Abril, 58 832,58 459 068,
Biogás,2020,Maio, 55 528,61 132 834,
Biogás,2020,Junho, 56 255,61 191 707,
Biogás,2020,Julho, 76 629,68 121 186,
Biogás,2020,Agosto, 51 191,71 504 198,
Biogás,2020,Setembro, 52 472,67 338 022,
Biogás,2020,Outubro, 50 376,68 556 130,
Biogás,2020,Novembro, 59 988,65 560 658,
Biogás,2020,Dezembro, 56 590,69 676 197,
